plan#,Ap,Bp,L,F,plan_reward,plan_time,obs_dis,loss,mae,mean_q
2750,1.0,0.7,1.0,0.311358850677191,-0.113489728016,0.0,0.0,1.3819823,0.9892635,3.7529292
2751,1.0,0.7,1.0,0.3109535880169341,-0.0988727345075,0.0,0.0,1.3568474,0.98829925,3.7536917
2752,1.0,0.7,1.0,0.31018585037751417,-0.0944037425648,0.0,0.0,1.3412049,0.98701173,3.749971
2753,1.0,0.7,1.0,0.3292603509409279,-0.0931660109534,0.0,0.0,1.3244163,0.9852199,3.7422557
2754,0.95,0.7,1.0,0.26719425617601494,-0.0858589468814,0.0,0.0,0.60958844,0.98264724,3.730991
2755,0.9,0.7,1.0,0.25703282996165516,-0.0778359897069,0.0,0.0,0.58930445,0.9798825,3.719731
2756,0.95,0.7,1.0,0.1795800980803705,-0.0709256573232,0.0,0.0,1.2286195,0.97701746,3.70849
2757,1.0,0.7,1.0,0.21775781923137505,-0.0698134074804,0.0,0.0,1.2026502,0.97392917,3.6942542
2758,1.0,0.7,1.0,0.04030881508547509,-0.0662433548232,0.0,0.0,1.1691802,0.9703653,3.677391
2759,1.0,0.7,1.0,0.10055880854826131,-0.0658879549242,0.0,0.0,1.1375985,0.96658695,3.658244
2760,1.0,0.7,1.0,0.01794135151041917,-0.0603589992069,0.0,0.0,1.095855,0.96232903,3.6371217
2761,1.0,0.7,1.0,0.09273573936720228,30.0,0.0,0.0,348.10208,1.8813399,3.6143198
2762,1.0,0.7,1.0,0.33034405924470955,-0.106730384719,0.0,0.0,1.0934073,0.7149017,2.662129
2763,1.0,0.7,1.0,0.3054849702678814,-0.100322556456,0.0,0.0,1.1254841,0.71955377,2.6913564
2764,1.0,0.7,1.0,0.33377373949651656,-0.096599768767,0.0,0.0,1.1542082,0.7234441,2.7156243
2765,1.0,0.7,1.0,0.3178027659321132,-0.0930206934973,0.0,0.0,1.1770908,0.72655004,2.7353415
2766,1.0,0.7,1.0,0.3096207719368294,-0.0887429834862,0.0,0.0,1.1934987,0.7289082,2.750894
2767,1.0,0.7,1.0,0.3277273790410266,-0.085409025414,0.0,0.0,1.2057174,0.73064333,2.7626505
